Afaraf,aa,aar
"Limburgan, Limburger, Limburgish",Limburgs,li
Lingala,Lingála,ln
Lao,ພາສາລາວ,lo
Lithuanian,lietuvių kalba,lt
Luba-Katanga,Kiluba,lu
Latvian,latviešu valoda,lv
Malagasy,fiteny malagasy,mg
Marshallese,Kajin M̧ajeļ,mh
Maori,te reo Māori,mi
Macedonian,македонски јазик,mk
Malayalam,മലയാളം,ml
Mongolian,Монгол хэл,mn
Marathi,मराठी,mr
Malay,"Bahasa Melayu, بهاس ملايو",ms
Maltese,Malti,mt
Burmese,ဗမာစာ,my
Nauru,Dorerin Naoero,na
Norwegian Bokmål,Norsk Bokmål,nb
North Ndebele,isiNdebele,nd
Nepali,नेपाली,ne
Ndonga,Owambo,ng
"Dutch, Flemish","Nederlands, Vlaams",nl
Norwegian Nynorsk,Norsk Nynorsk,nn
Norwegian,Norsk,no
South Ndebele,isiNdebele,nr
"Navajo, Navaho",Diné bizaad,nv
"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny
Occitan,"occitan, lenga d'òc",oc
Ojibwa,ᐊᓂᔑᓈᐯᒧᐎᓐ,oj
Oromo,Afaan Oromoo,om
Oriya,ଓଡ଼ିଆ,or
"Ossetian, Ossetic",ирон ӕвзаг,os
"Punjabi, Panjabi","ਪੰਜਾਬੀ, پنجابی",pa
Pali,"पालि, पाळि",pi
Polish,"język polski, polszczyzna",pl
"Pashto, Pushto",پښتو,ps
Portuguese,Português,pt
Quechua,"Runa Simi, Kichwa",qu
Romansh,Rumantsch Grischun,rm
Rundi,Ikirundi,rn
"Romanian, Moldavian, Moldovan","Română, Moldovenească",ro
Russian,русский,ru
Kinyarwanda,Ikinyarwanda,rw
Sanskrit,"संस्कृतम्, 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍",sa
Sardinian,sardu,sc
Sindhi,"सिंधी, سنڌي",sd
Northern Sami,Davvisámegiella,se
Sango,yângâ tî sängö,sg
"Sinhala, Sinhalese",සිංහල,si
Slovak,"slovenčina, slovenský jazyk",sk
Slovenian,"Slovenski jezik, Slovenščina",sl
Samoan,gagana fa'a Samoa,sm
Shona,chiShona,sn
Somali,"Soomaaliga, af Soomaali",so
Albanian,Shqip,sq
Serbian (Cyrillic),српски језик,sr
Serbian (Latin),srpski jezik,sr_Latn
Swati,SiSwati,ss
Southern Sotho,Sesotho,st
Sundanese,Basa Sunda,su
Swedish,Svenska,sv
Swahili,Kiswahili,sw
Tamil,தமிழ்,ta
Telugu,తెలుగు,te
Tajik,"тоҷикӣ, toçikī, تاجیکی",tg
Thai,ไทย,th
Tigrinya,ትግርኛ,ti
Turkmen,"Türkmençe, Türkmen dili",tk
Tagalog,Wikang Tagalog,tl
Tswana,Setswana,tn
Tonga,Faka Tonga,to
Turkish,Türkçe,tr
Tsonga,Xitsonga,ts
Tatar,"татар теле, tatar tele",tt
Twi,Twi,tw
Tahitian,Reo Tahiti,ty
"Uighur, Uyghur","ئۇيغۇرچە, Uyghurche",ug
Ukrainian,Українська,uk
Urdu,اردو,ur
Uzbek,"Oʻzbek, Ўзбек, أۇزبېك",uz
Venda,Tshivenḓa,ve
Vietnamese,Tiếng Việt,vi
Volapük,Volapük,vo
Walloon,Walon,wa
Wolof,Wollof,wo
Xhosa,isiXhosa,xh
Yiddish,ייִדיש,yi
Yoruba,Yorùbá,yo
"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za
Chinese,"中文 (Zhōngwén), 汉语, 漢語",zh
Zulu,isiZulu,zu
